id,noise_site_id,period_length,period_end_date,leq_adj,tone_100hz
1,115,2,2016-03-09,48.5,
2,115,2,2016-06-27,48.5,
3,115,2,2016-07-27,46.6,
4,115,2,2016-08-08,48.3,
5,115,2,2016-09-03,47.5,10.4
6,115,2,2016-10-01,48.3,8.9
7,115,2,2016-10-26,46.4,7.7
8,115,2,2017-01-31,43.9,4.7
9,115,2,2017-03-23,44,9.3
10,115,2,2017-05-24,44.5,11.2
11,115,2,2017-08-21,44.6,5.4
12,115,2,2017-10-19,45,6.4
13,115,2,2017-11-20,45,4.2
14,115,2,2018-02-13,45.9,10.1
15,115,2,2018-05-18,43.3,6.5
16,115,2,2018-06-14,43.3,7.7
17,115,2,2018-07-22,44.5,5.6
18,115,2,2018-09-12,45,5.7
19,115,2,2018-11-18,42.3,3.6
20,115,2,2019-02-12,45.4,6.6
21,115,2,2019-05-17,42.9,4.2
22,115,2,2019-06-28,43.6,4.5
23,154,2,2019-04-10,43.2,5.6
24,154,2,2019-05-01,42.9,2
25,154,2,2019-06-28,42.7,4.5
26,154,2,2019-07-17,42.1,2.1
27,154,2,2019-07-25,43.2,1.3
28,154,2,2019-08-15,44.4,3.7
29,154,2,2019-09-05,44.1,1.4
30,154,2,2019-10-09,37.8,1.2
31,154,2,2019-10-23,42.6,0.1
32,154,2,2019-11-03,44.8,4
33,154,2,2019-12-28,46.2,4.7
34,154,2,2020-01-11,46.6,2.2
35,154,2,2020-02-08,41.3,2.7
36,154,2,2020-02-22,43.8,2.9
37,154,2,2020-05-16,43.7,2.7
38,154,2,2020-05-30,43.2,2.3
39,154,2,2020-07-11,42.9,0.8
40,148,2,2019-04-10,48.8,8.9
41,148,2,2019-05-01,44.5,5.3
42,148,2,2019-06-28,46.7,7.1
43,148,2,2019-07-17,43.5,3.9
44,148,2,2019-07-25,44.9,5
45,148,2,2019-08-15,43.5,5.3
46,148,2,2019-09-05,45.2,4.1
47,148,2,2019-10-09,43.7,4.3
48,148,2,2019-10-23,44,2.5
49,148,2,2019-12-28,43.4,7.5
50,148,2,2020-02-08,41.4,6.7
51,148,2,2020-02-22,43.1,7.3
52,148,2,2020-03-07,43.3,7.8
53,148,2,2020-04-18,43.2,8.3
54,148,2,2020-05-02,42.7,2.9
55,148,2,2020-05-30,41.9,3.8
56,148,2,2020-06-13,42.2,3.4
57,148,2,2020-07-11,42.8,4.4
58,147,2,2018-08-22,45.3,5.4
59,147,2,2018-10-31,45.3,5.5
60,147,2,2018-11-30,45.3,5.2
61,147,2,2019-02-02,44.7,4.7
62,147,2,2019-03-31,44.3,4.8
63,147,2,2019-06-28,46.4,6.3
64,145,2,2018-08-22,44.9,6.1
65,145,2,2018-10-31,44.8,5.7
66,145,2,2018-11-30,42.3,6.9
67,145,2,2019-02-02,43.2,10.9
68,145,2,2019-03-31,42.6,9.6
69,145,2,2019-06-28,44,10.3
70,901,2,2017-01-01,45.3,11.8
71,901,2,2017-03-01,40.2,11.2
72,901,2,2017-05-01,41.1,6.5
73,901,2,2017-08-01,43.8,7.1
74,902,2,2017-03-01,46.8,12.2
75,902,2,2017-03-31,46.4,9.9
76,902,2,2017-05-01,42.9,7.9
77,902,2,2017-08-01,46.4,10.4
78,903,2,2018-01-01,41.5,5.4
79,903,2,2018-03-01,42.5,4.4
80,903,2,2018-05-01,43.8,3.8
81,903,2,2018-06-15,41.6,3.8
82,903,2,2018-07-10,39.5,4.4
83,142,2,2018-04-01,41.5,0.2
84,142,2,2018-08-01,42.3,1.9
85,142,2,2018-10-01,39.8,0.5
86,142,2,2018-12-01,38.3,0.1
87,142,2,2019-03-01,38.9,0.1
88,142,2,2019-05-01,39.4,0.4
89,142,2,2019-06-28,40.7,1.1
90,142,2,2019-11-16,45.9,3.5
91,142,2,2019-11-30,45.2,8.7
92,142,2,2019-12-28,45.7,5.4
93,142,2,2020-01-11,46.1,9.9
94,142,2,2020-02-08,45,7
95,142,2,2020-02-22,45.8,7.7
96,142,2,2020-03-07,45,6.4
97,142,2,2020-04-04,46.3,8.4
98,142,2,2020-04-18,46.5,3.9
99,142,2,2020-05-30,44.3,5.6
100,142,2,2020-06-13,43.7,4.6
101,142,2,2020-06-27,46,6.3
102,142,2,2020-07-11,48.4,5.4
103,144,2,2018-09-01,45.2,0
104,144,2,2018-11-01,41.5,1.1
105,144,2,2019-05-01,41,0.1
106,144,2,2019-07-17,39.3,0
107,144,2,2019-08-30,41.8,0.1
108,144,2,2019-11-16,47.6,4.9
109,144,2,2019-11-30,46,10.5
110,144,2,2019-12-28,46.4,7.4
111,144,2,2020-01-11,47.9,11.4
112,144,2,2020-02-08,46.2,9.3
113,144,2,2020-02-22,47,10.4
114,144,2,2020-03-07,48.9,11.3
115,144,2,2020-04-04,47.4,5.8
116,144,2,2020-05-16,46.2,1.4
117,144,2,2020-05-30,47.1,10.3
118,144,2,2020-06-13,46.8,6.5
119,144,2,2020-06-27,46.9,5.3
120,144,2,2020-07-11,47,6.3
121,137,2,2018-04-30,39.9,6.1
122,137,2,2018-05-30,42.3,7.4
123,137,2,2018-07-30,45.2,5.7
124,137,2,2018-08-31,44.3,6.1
125,137,2,2018-10-30,44.3,7.5
126,137,2,2018-12-31,43.1,3.3
127,137,2,2019-02-28,41.2,5.6
128,137,2,2019-04-30,43,8.3
129,137,2,2019-06-28,41.6,7.1
130,146,2,2018-04-30,36.1,4.4
131,146,2,2018-05-30,41.5,3.3
132,146,2,2018-07-30,43,5.1
133,146,2,2018-08-31,42.7,3.7
134,146,2,2018-10-30,42.4,6.3
135,146,2,2018-12-31,41.4,4.1
136,146,2,2019-02-28,40.7,3.1
137,159,2,2018-04-01,48.4,9.4
138,159,2,2018-05-02,48,10.9
139,159,2,2018-06-17,48.1,7
140,159,2,2018-07-29,45.9,8.8
141,159,2,2018-08-21,47.3,4.7
142,161,2,2018-09-29,47.4,8.6
143,161,2,2018-10-31,47.2,12.5
144,161,2,2018-11-29,43.4,8.8
145,161,2,2019-07-31,47.3,7.7
146,161,2,2019-09-10,48.9,10.3
147,161,2,2019-10-31,47.7,8.4
148,161,2,2019-12-31,42.4,3.7
149,161,2,2020-01-30,48.6,9.8
150,161,2,2020-02-28,47.2,9.7
151,161,2,2020-03-31,48.6,10.2
152,161,2,2020-04-30,44.4,6.6
153,161,2,2020-06-09,47,4.4
154,161,2,2020-07-30,49.7,9.7
