id,noise_site_id,datetime,l90,tone_100hz,tone_200hz,rain1,rain2,is_wet,include
1,115,2025-02-26T00:00:00,43.3,3.51,3.96,0.0,0.2,False,True
2,115,2025-02-27T00:00:00,41.8,5.66,2.34,0.0,0.2,False,True
3,115,2025-02-28T00:00:00,33.2,1.14,1.41,0.0,0.0,False,True
4,115,2025-03-01T00:00:00,33.2,0.9,0.58,3.3,3.1,True,True
5,115,2025-03-02T00:00:00,32.0,3.03,0.75,0.0,0.1,False,True
6,115,2025-03-03T00:00:00,32.6,0.25,3.82,0.0,0.0,False,True
7,115,2025-03-04T00:00:00,34.3,3.75,2.65,3.9,4.2,True,True
8,115,2025-03-05T00:00:00,41.6,2.05,4.18,0.0,0.2,False,True
9,115,2025-03-06T00:00:00,37.0,3.75,5.37,0.0,0.0,False,True
10,115,2025-03-07T00:00:00,33.2,3.24,1.11,0.0,0.0,False,True
11,115,2025-03-08T00:00:00,38.3,2.17,1.44,4.4,4.6,True,True
12,115,2025-03-09T00:00:00,35.8,4.17,4.86,0.0,0.2,False,True
13,115,2025-03-10T00:00:00,30.3,4.1,4.75,1.1,1.1,True,True
14,115,2025-03-11T00:00:00,34.6,0.55,0.94,0.2,0.2,False,True
15,115,2025-03-12T00:00:00,37.7,3.2,5.63,0.0,0.3,False,True
16,115,2025-03-13T00:00:00,32.1,4.02,2.3,0.0,0.2,False,True
17,115,2025-03-14T00:00:00,38.9,2.14,5.68,3.7,3.5,True,True
18,115,2025-03-15T00:00:00,34.2,5.16,2.4,0.0,0.0,False,True
19,115,2025-03-16T00:00:00,40.7,1.72,4.43,0.0,0.0,False,True
20,115,2025-03-17T00:00:00,36.9,0.04,3.97,0.0,0.0,False,True
21,115,2025-03-18T00:00:00,36.9,5.22,5.15,0.0,0.0,False,True
22,115,2025-03-19T00:00:00,35.2,0.54,5.64,0.0,0.0,False,True
23,115,2025-03-20T00:00:00,42.7,5.68,4.83,0.0,0.2,False,True
24,115,2025-03-21T00:00:00,29.4,4.2,0.58,0.0,0.2,False,True
25,115,2025-03-22T00:00:00,35.9,5.56,2.04,1.1,1.3,True,True
26,115,2025-03-23T00:00:00,39.3,2.22,1.74,0.0,0.1,False,True
27,115,2025-03-24T00:00:00,32.1,3.98,2.11,0.0,0.0,False,True
28,115,2025-03-25T00:00:00,30.0,1.83,1.21,5.6,5.9,True,True
29,115,2025-03-26T00:00:00,28.8,0.1,2.03,0.0,0.2,False,True
30,129,2025-02-12T00:00:00,39.7,5.08,5.67,2.3,2.3,True,True
31,129,2025-02-13T00:00:00,31.8,5.92,1.24,5.9,6.2,True,True
32,129,2025-02-14T00:00:00,40.1,3.94,5.33,0.0,0.0,False,True
33,129,2025-02-15T00:00:00,29.7,4.17,2.32,0.0,0.0,False,True
34,129,2025-02-16T00:00:00,39.3,4.44,2.0,3.4,3.4,True,True
35,129,2025-02-17T00:00:00,38.9,5.29,1.59,0.0,0.0,False,True
36,129,2025-02-18T00:00:00,40.1,5.42,1.32,5.5,5.4,True,True
37,129,2025-02-19T00:00:00,35.0,4.06,0.98,3.7,3.7,True,True
38,129,2025-02-20T00:00:00,37.1,3.19,5.26,0.0,0.3,False,True
39,129,2025-02-21T00:00:00,39.9,1.65,4.69,4.9,4.7,True,True
40,129,2025-02-22T00:00:00,41.9,3.56,2.52,3.5,3.8,True,True
41,129,2025-02-23T00:00:00,42.9,0.17,2.84,2.4,2.5,True,True
42,129,2025-02-24T00:00:00,39.3,3.68,5.97,3.3,3.6,True,True
43,129,2025-02-25T00:00:00,39.2,3.6,2.84,0.0,0.2,False,True
44,129,2025-02-26T00:00:00,34.5,1.57,4.85,5.1,5.2,True,True
45,129,2025-02-27T00:00:00,36.4,5.03,3.81,0.0,0.0,False,True
46,129,2025-02-28T00:00:00,39.5,0.6,1.69,3.1,2.9,True,True
47,129,2025-03-01T00:00:00,45.4,3.75,1.81,5.9,6.1,True,True
48,129,2025-03-02T00:00:00,30.5,5.86,2.02,2.2,2.5,True,True
49,129,2025-03-03T00:00:00,32.5,4.63,2.5,0.0,0.1,False,True
50,129,2025-03-04T00:00:00,45.3,0.78,2.02,0.0,0.0,False,True
51,129,2025-03-05T00:00:00,31.6,3.7,3.51,2.5,2.5,True,True
52,129,2025-03-06T00:00:00,45.2,5.0,5.84,0.0,0.2,False,True
53,129,2025-03-07T00:00:00,44.9,3.45,2.6,0.0,0.1,False,True
54,129,2025-03-08T00:00:00,33.8,0.24,2.31,0.0,0.0,False,True
55,129,2025-03-09T00:00:00,41.3,2.12,1.91,0.0,0.1,False,True
56,129,2025-03-10T00:00:00,38.7,4.62,2.34,0.0,0.2,False,True
57,129,2025-03-11T00:00:00,37.8,1.51,3.9,0.0,0.0,False,True
58,129,2025-03-12T00:00:00,38.9,0.3,0.96,0.0,0.0,False,True
59,129,2025-03-13T00:00:00,45.7,1.12,5.73,0.0,0.0,False,True
60,129,2025-03-14T00:00:00,39.5,5.06,4.84,0.0,0.0,False,True
