id,noise_site_id,site_name,height_adj_db,data_folder,report_folder
1,115,Otaki(A),0,,
2,129,Gore,0,,
3,137,Sanson A,0.5,,
4,142,Waikanae 1(A),-0.3,,
5,144,Waikanae 2(A),1.8,,
6,145,Foxton 3(A),2.8,,
7,146,Aranui B,0,,
8,147,Foxton 4(A),0,,
9,148,Foxton 5(B),-0.6,,
10,154,Foxton 6(B),1.8,,
11,159,Swamp Road,-0.3,,
12,161,Rangiuru Road,0,,
13,162,Johnsonville 1,0,,
14,163,Waikanae 3,0,,
15,901,Foxton North,0,,
16,902,Foxton South,0,,
17,903,Mt Cecil,0,,
18,51,Demo Site,0,,
19,87,Portable Logger 3,0,,
20,106,Haywards,0,,
